timestamp,displacement_m,velocity_ms,acceleration_ms2
28.225212,-0.322376,0.000000,0.000000
28.325274,-0.322376,0.000000,0.000000
28.425274,-0.322376,0.000000,0.000000
28.525254,-0.322376,0.000000,0.000000
28.625259,-0.322376,0.000000,0.000000
28.726975,-0.322376,0.000000,0.000000
28.825258,-0.322376,0.000000,6.000000
28.925280,-0.322376,0.800000,6.000000
29.025409,0.011953,0.800000,-5.806372
29.125262,0.063207,0.509213,-6.000000
29.225366,0.113774,0.502313,-0.071043
29.325352,0.163714,0.494998,-0.073258
29.425546,0.212862,0.487648,-0.080216
29.525353,0.261245,0.478955,-0.100251
29.625360,0.308564,0.467617,-0.114553
29.725368,0.354775,0.456042,-0.124004
29.825358,0.399772,0.442816,-0.145522
29.925383,0.443345,0.426936,-0.170818
30.025370,0.485164,0.408651,-0.191038
30.125355,0.525064,0.388733,-0.218720
30.225337,0.562898,0.364914,-0.258210
30.325389,0.598059,0.337083,-1.017769
30.425362,0.630323,0.161335,-1.685557
30.525372,0.630323,0.000000,-0.806600
30.625380,0.630323,0.000000,0.000000
30.725347,0.630323,0.000000,0.000000
30.825668,0.630323,0.000000,0.000000
30.925401,0.630323,0.000000,0.000000
31.025346,0.630323,0.000000,0.000000
31.125364,0.630323,0.000000,0.000000
31.225351,0.630323,0.000000,0.000000
31.325313,0.630323,0.000000,0.000000
31.425380,0.630323,0.000000,0.000000
31.525373,0.630323,0.000000,0.000000
31.625424,0.630323,0.000000,0.000000
31.725397,0.630323,0.000000,0.000000
31.825385,0.630323,0.000000,0.000000
31.925378,0.630323,0.000000,0.000000
32.025364,0.630323,0.000000,0.000000
32.125394,0.630323,0.000000,-6.000000
32.225470,0.630323,-0.800000,-6.000000
32.326133,-1.470294,-0.800000,6.000000
32.425673,-1.470294,0.000000,6.000000
32.525404,-1.470294,0.000000,0.000000
32.625324,-1.470294,0.000000,0.000000
32.725342,-1.470294,0.000000,0.000000
32.825365,-1.470294,0.000000,0.000000
32.925552,-1.470294,0.000000,0.000000
33.025377,-1.470294,0.000000,0.000000
33.125393,-1.470294,0.000000,0.000000
33.225653,-1.470294,0.000000,0.000000
33.325341,-1.470294,0.000000,0.000000
33.425313,-1.470294,0.000000,0.000000
33.525477,-1.470294,0.000000,0.000000
33.625514,-1.470294,0.000000,0.000000
33.725668,-1.470294,0.000000,0.000000
33.826452,-1.470294,0.000000,0.000000
33.925354,-1.470294,0.000000,-0.088787
34.025307,-1.470294,-0.017656,-0.137498
34.125321,-1.473824,-0.027495,-0.010801
34.225219,-1.475790,-0.019815,0.032584
34.325283,-1.477787,-0.020979,-0.012859
34.425384,-1.479990,-0.022389,-0.013121
34.525585,-1.482271,-0.023608,-0.010880
34.625367,-1.484711,-0.024565,-0.010398
34.725454,-1.487181,-0.025686,0.055884
34.825653,-1.489855,-0.013372,0.128423
34.925464,-1.489855,0.000000,0.066871
35.025617,-1.489855,0.000000,0.000000
35.125468,-1.489855,0.000000,0.000000
35.225354,-1.489855,0.000000,0.000000
35.325333,-1.489855,0.000000,0.000000
35.425342,-1.489855,0.000000,0.000000
35.525607,-1.489855,0.000000,0.000000
35.625307,-1.489855,0.000000,0.000000
35.725332,-1.489855,0.000000,0.000000
35.825342,-1.489855,0.000000,0.000000
35.925572,-1.489855,0.000000,0.000000
36.025356,-1.489855,0.000000,0.000000
