timestamp,fused_px,fused_py,fused_vx,fused_vy,fusion_variance
66.976376,-516.522700,-330.641000,-1.525000,-0.975000,0.007447
67.075070,-516.675200,-330.738500,-1.525000,-0.975000,0.007447
67.175087,-516.827700,-330.836000,-1.525000,-0.975000,0.007447
67.275031,-516.980300,-330.933600,-1.525000,-0.975000,0.007447
67.374961,-517.132800,-331.031100,-1.525000,-0.975000,0.007447
67.475015,-517.285300,-331.128600,-1.525000,-0.975000,0.007447
67.574973,-517.437900,-331.226200,-1.525000,-0.975000,0.007447
67.675050,-517.590400,-331.323700,-1.525000,-0.975000,0.007447
67.775032,-517.743000,-331.421200,-1.525000,-0.975000,0.007447
67.875018,-517.895500,-331.518800,-1.525000,-0.975000,0.007447
67.975049,-518.048000,-331.616300,-1.525000,-0.975000,0.007447
68.075055,-518.200600,-331.713800,-1.525000,-0.975000,0.007447
68.175031,-518.353100,-331.811400,-1.525000,-0.975000,0.007447
68.275055,-518.505600,-331.908900,-1.525000,-0.975000,0.007447
68.375014,-518.658200,-332.006400,-1.525000,-0.975000,0.007447
68.475040,-518.810700,-332.104000,-1.525000,-0.975000,0.007447
68.575020,-518.963200,-332.201500,-1.525000,-0.975000,0.007447
68.675025,-519.115800,-332.299000,-1.525000,-0.975000,0.007447
68.775033,-519.268300,-332.396600,-1.525000,-0.975000,0.007447
68.875025,-519.420900,-332.494100,-1.525000,-0.975000,0.007447
68.975019,-519.573400,-332.591600,-1.525000,-0.975000,0.007447
69.075023,-519.725900,-332.689100,-1.525000,-0.975000,0.007447
69.175041,-519.878500,-332.786700,-1.525000,-0.975000,0.007447
69.275033,-520.031000,-332.884200,-1.525000,-0.975000,0.007447
69.374975,-520.183500,-332.981700,-1.525000,-0.975000,0.007447
69.475035,-520.336100,-333.079300,-1.525000,-0.975000,0.007447
69.575114,-520.488600,-333.176800,-1.525000,-0.975000,0.007447
69.675065,-520.641100,-333.274300,-1.525000,-0.975000,0.007447
69.775022,-520.793700,-333.371900,-1.525000,-0.975000,0.007447
69.875020,-520.946200,-333.469400,-1.525000,-0.975000,0.007447
69.974998,-521.098800,-333.566900,-1.525000,-0.975000,0.007447
70.074964,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
70.174987,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
70.275016,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
70.375025,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
70.475028,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
70.575021,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
70.675050,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
70.775067,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
70.874988,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
70.974976,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
71.075044,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
71.175042,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
71.275021,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
71.375000,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
71.474983,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
71.574991,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
71.675010,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
71.774993,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
71.874993,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
71.974982,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
72.075162,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
72.175180,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
72.275011,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
72.375019,-521.251300,-333.664500,-1.525000,-0.975000,0.007447
72.475256,-521.708900,-333.957100,-1.525000,-0.975000,0.007447
72.575225,-521.861400,-334.054600,-1.525000,-0.975000,0.007447
72.675048,-522.014000,-334.152100,-1.525000,-0.975000,0.007447
72.775257,-522.166500,-334.249600,-1.525000,-0.975000,0.007447
72.875224,-522.319000,-334.347200,-1.525000,-0.975000,0.007447
72.975028,-522.471600,-334.444700,-1.525000,-0.975000,0.007447
73.075019,-522.624100,-334.542200,-1.525000,-0.975000,0.007447
73.175027,-522.776700,-334.639800,-1.525000,-0.975000,0.007447
73.275063,-522.929200,-334.737300,-1.525000,-0.975000,0.007447
73.375004,-523.081700,-334.834800,-1.525000,-0.975000,0.007447
73.475109,-523.234300,-334.932400,-1.525000,-0.975000,0.007447
73.575129,-523.386800,-335.029900,-1.525000,-0.975000,0.007447
73.675086,-523.539300,-335.127400,-1.525000,-0.975000,0.007447
73.775047,-523.691900,-335.225000,-1.525000,-0.975000,0.007447
73.875217,-523.844400,-335.322500,-1.525000,-0.975000,0.007447
73.974990,-523.996900,-335.420000,-1.525000,-0.975000,0.007447
74.075132,-524.149500,-335.517600,-1.525000,-0.975000,0.007447
74.175784,-524.302000,-335.615100,-1.525000,-0.975000,0.007447
74.274952,-524.454600,-335.712600,-1.525000,-0.975000,0.007447
74.374963,-524.607100,-335.810200,-1.525000,-0.975000,0.007447
74.474959,-524.759600,-335.907700,-1.525000,-0.975000,0.007447
74.575002,-524.912200,-336.005200,-1.525000,-0.975000,0.007447
